agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q = 100,2,47,-13761.0,0.14772727272727273,18609.0,88.0
Q = 100,2,48,-13721.0,0.6557377049180327,18670.0,61.0
Q = 100,2,49,-13652.0,2.15625,18702.0,32.0
Q = 100,2,50,-13587.0,1.8055555555555556,18738.0,36.0
Q = 100,2,51,-13528.0,1.4047619047619047,18780.0,42.0
Q = 100,2,52,-13474.0,1.148936170212766,18827.0,47.0
Q = 100,2,53,-13461.0,0.14772727272727273,18915.0,88.0
Q = 100,2,54,-13395.0,1.8857142857142857,18950.0,35.0
Q = 100,2,55,-13346.0,0.9423076923076923,19002.0,52.0
Q = 100,2,56,-13319.0,0.36486486486486486,19076.0,74.0
Q = 100,2,57,-13254.0,1.8055555555555556,19112.0,36.0
Q = 100,2,58,-13196.0,1.3488372093023255,19155.0,43.0
Q = 100,2,59,-13151.0,0.8035714285714286,19211.0,56.0
Q = 100,2,60,-13106.0,0.8035714285714286,19267.0,56.0
Q = 100,2,61,-13075.0,0.44285714285714284,19337.0,70.0
Q = 100,2,62,-13017.0,1.3488372093023255,19380.0,43.0
Q = 100,2,63,-12982.0,0.5303030303030303,19446.0,66.0
Q = 100,2,64,-12912.0,2.2580645161290325,19477.0,31.0
Q = 100,2,65,-12850.0,1.5897435897435896,19516.0,39.0
Q = 100,2,66,-12796.0,1.148936170212766,19563.0,47.0
Q = 100,2,67,-12732.0,1.7297297297297298,19600.0,37.0
Q = 100,2,68,-12696.0,0.5538461538461539,19665.0,65.0
Q = 100,2,69,-12636.0,1.4634146341463414,19706.0,41.0
Q = 100,2,70,-12584.0,1.0612244897959184,19755.0,49.0
Q = 100,2,71,-12531.0,1.1041666666666667,19803.0,48.0
Q = 100,2,72,-12469.0,1.5897435897435896,19842.0,39.0
Q = 100,2,73,-12409.0,1.4634146341463414,19883.0,41.0
Q = 100,2,74,-12355.0,1.148936170212766,19930.0,47.0
Q = 100,2,75,-12308.0,0.8703703703703703,19984.0,54.0
Q = 100,2,76,-12271.0,0.578125,20048.0,64.0
Q = 100,2,77,-12201.0,2.2580645161290325,20079.0,31.0
Q = 100,2,78,-12139.0,1.5897435897435896,20118.0,39.0
Q = 100,2,79,-12072.0,1.9705882352941178,20152.0,34.0
Q = 100,2,80,-12010.0,1.5897435897435896,20191.0,39.0
Q = 100,2,81,-11952.0,1.3488372093023255,20234.0,43.0
Q = 100,2,82,-11899.0,1.1041666666666667,20282.0,48.0
Q = 100,2,83,-11830.0,2.15625,20314.0,32.0
Q = 100,2,84,-11776.0,1.148936170212766,20361.0,47.0
Q = 100,2,85,-11715.0,1.525,20401.0,40.0
Q = 100,2,86,-11661.0,1.148936170212766,20448.0,47.0
Q = 100,2,87,-11608.0,1.1041666666666667,20496.0,48.0
Q = 100,2,88,-11560.0,0.9056603773584906,20549.0,53.0
Q = 100,2,89,-11496.0,1.7297297297297298,20586.0,37.0
Q = 100,2,90,-11433.0,1.6578947368421053,20624.0,38.0
Q = 100,2,91,-11370.0,1.6578947368421053,20662.0,38.0
